Season,TeamID,adj_o,adj_d,luck,rank,adj_em
2011,1161,107.9,97.3,0.019,73,0.767
2011,1353,107.3,97.0,-0.052000000000000005,74,0.762
2011,1329,105.0,94.9,0.051,75,0.7616
2011,1217,111.1,100.6,0.064,76,0.7575
2011,1235,106.6,96.8,-0.095,77,0.7515
2011,1231,108.6,98.9,-0.14,78,0.7458
2011,1283,110.7,101.0,0.031,79,0.7408
2011,1267,109.4,99.9,0.004,80,0.7405
2011,1158,111.0,101.4,-0.013999999999999999,81,0.7383
2011,1158,111.0,101.4,-0.013999999999999999,81,0.7383
2011,1158,111.0,101.4,-0.013999999999999999,81,0.7383
2011,1158,111.0,101.4,-0.013999999999999999,81,0.7383
2011,1129,106.3,97.3,-0.042,82,0.735
2011,1234,103.4,94.9,-0.11800000000000001,83,0.7281
2011,1332,106.3,97.6,-0.018000000000000002,84,0.7259
2011,1433,109.6,100.7,0.023,85,0.7259
2011,1433,109.6,100.7,0.023,85,0.7259
2011,1433,109.6,100.7,0.023,85,0.7259
2011,1433,109.6,100.7,0.023,85,0.7259
2011,1409,106.2,97.6,-0.004,86,0.7245
2011,1459,111.7,103.0,-0.015,87,0.717
2011,1253,106.1,98.0,0.078,88,0.7139
2011,1343,104.6,96.8,0.10099999999999999,89,0.7112
2011,1210,100.8,93.6,-0.092,90,0.703
2011,1210,100.8,93.6,-0.092,90,0.703
2011,1210,100.8,93.6,-0.092,90,0.703
2011,1210,100.8,93.6,-0.092,90,0.703
2011,1193,96.9,90.0,0.049,91,0.7021
2011,1301,108.6,100.8,-0.02,92,0.7008
2011,1137,103.1,95.9,0.04,93,0.6974
2011,1287,104.7,97.6,-0.002,94,0.6924
2011,1344,108.2,100.9,-0.045,95,0.6896
2011,1173,101.9,95.1,0.053,96,0.688
2011,1438,102.9,96.1,0.02,97,0.687
2011,1416,105.0,98.3,0.006999999999999999,98,0.6812
2011,1416,105.0,98.3,0.006999999999999999,98,0.6812
2011,1416,105.0,98.3,0.006999999999999999,98,0.6812
2011,1416,105.0,98.3,0.006999999999999999,98,0.6812
2011,1180,97.4,91.2,0.066,99,0.6809
2011,1390,103.6,97.1,-0.044000000000000004,100,0.6778
2011,1272,101.8,95.6,0.132,101,0.6732
2011,1116,105.2,99.0,0.003,102,0.6679
2011,1434,104.1,98.2,0.068,103,0.6601
2011,1241,107.2,101.3,0.009000000000000001,104,0.659
2011,1241,107.2,101.3,0.009000000000000001,104,0.659
2011,1241,107.2,101.3,0.009000000000000001,104,0.659
2011,1241,107.2,101.3,0.009000000000000001,104,0.659
2011,1339,110.0,104.0,0.06,105,0.656
2011,1285,99.7,94.4,0.018000000000000002,106,0.6507
2011,1403,106.6,101.0,-0.040999999999999995,107,0.6483
2011,1403,106.6,101.0,-0.040999999999999995,107,0.6483
2011,1403,106.6,101.0,-0.040999999999999995,107,0.6483
2011,1403,106.6,101.0,-0.040999999999999995,107,0.6483
2011,1351,106.3,100.9,0.053,108,0.6461
2011,1232,100.9,96.1,0.052000000000000005,109,0.6387
2011,1157,104.2,99.3,0.081,110,0.6344
2011,1157,104.2,99.3,0.081,110,0.6344
2011,1157,104.2,99.3,0.081,110,0.6344
2011,1157,104.2,99.3,0.081,110,0.6344
2011,1389,95.0,90.6,0.07200000000000001,111,0.6332
2011,1102,105.2,100.4,0.018000000000000002,112,0.6326
2011,1102,105.2,100.4,0.018000000000000002,112,0.6326
2011,1102,105.2,100.4,0.018000000000000002,112,0.6326
2011,1102,105.2,100.4,0.018000000000000002,112,0.6326
2011,1190,102.0,97.4,0.039,113,0.6322
2011,1355,113.6,108.7,-0.084,114,0.6256
2011,1460,103.4,99.0,-0.013999999999999999,115,0.6243
2011,1166,105.4,100.9,-0.045,116,0.6231
2011,1245,102.2,97.8,0.061,117,0.6225
2011,1254,107.8,103.3,0.051,118,0.6213
2011,1254,107.8,103.3,0.051,118,0.6213
2011,1254,107.8,103.3,0.051,118,0.6213
2011,1254,107.8,103.3,0.051,118,0.6213
2011,1187,105.1,100.7,0.036000000000000004,119,0.6204
2011,1187,105.1,100.7,0.036000000000000004,119,0.6204
2011,1187,105.1,100.7,0.036000000000000004,119,0.6204
2011,1187,105.1,100.7,0.036000000000000004,119,0.6204
2011,1138,103.8,99.4,-0.106,120,0.6203
2011,1294,104.7,100.4,0.018000000000000002,121,0.6199
2011,1294,104.7,100.4,0.018000000000000002,121,0.6199
2011,1294,104.7,100.4,0.018000000000000002,121,0.6199
2011,1294,104.7,100.4,0.018000000000000002,121,0.6199
2011,1348,102.4,98.2,0.064,122,0.6193
2011,1348,102.4,98.2,0.064,122,0.6193
2011,1348,102.4,98.2,0.064,122,0.6193
2011,1348,102.4,98.2,0.064,122,0.6193
2011,1308,103.6,99.3,-0.027000000000000003,123,0.6179
2011,1113,103.4,99.2,-0.009000000000000001,124,0.6165
2011,1280,105.2,101.0,0.07200000000000001,125,0.6157
2011,1387,97.5,94.0,-0.124,126,0.6041
2011,1387,97.5,94.0,-0.124,126,0.6041
2011,1319,104.0,100.3,-0.055999999999999994,127,0.6041
2011,1319,104.0,100.3,-0.055999999999999994,127,0.6041
2011,1319,104.0,100.3,-0.055999999999999994,127,0.6041
2011,1319,104.0,100.3,-0.055999999999999994,127,0.6041
2011,1293,102.3,98.8,0.040999999999999995,128,0.5976
2011,1320,107.2,103.6,0.022000000000000002,129,0.5965
2011,1320,107.2,103.6,0.022000000000000002,129,0.5965
2011,1320,107.2,103.6,0.022000000000000002,129,0.5965
2011,1320,107.2,103.6,0.022000000000000002,129,0.5965
2011,1376,99.4,96.1,0.01,130,0.5955
2011,1376,99.4,96.1,0.01,130,0.5955
2011,1376,99.4,96.1,0.01,130,0.5955
2011,1376,99.4,96.1,0.01,130,0.5955
2011,1378,102.2,98.9,-0.02,131,0.5934
2011,1378,102.2,98.9,-0.02,131,0.5934
2011,1378,102.2,98.9,-0.02,131,0.5934
2011,1378,102.2,98.9,-0.02,131,0.5934
2011,1331,109.1,105.6,-0.019,132,0.5928
2011,1331,109.1,105.6,-0.019,132,0.5928
2011,1331,109.1,105.6,-0.019,132,0.5928
2011,1331,109.1,105.6,-0.019,132,0.5928
2011,1103,102.0,98.8,0.033,133,0.5921
2011,1328,103.8,100.5,0.025,134,0.5919
2011,1225,104.7,101.5,0.028999999999999998,135,0.5872
2011,1436,100.1,97.4,0.081,136,0.58
2011,1220,107.5,104.6,0.139,137,0.5782
2011,1122,100.7,98.0,-0.031,138,0.5771
2011,1122,100.7,98.0,-0.031,138,0.5771
2011,1122,100.7,98.0,-0.031,138,0.5771
2011,1122,100.7,98.0,-0.031,138,0.5771
2011,1178,105.5,102.7,-0.022000000000000002,139,0.577
2011,1428,101.5,98.9,0.033,140,0.5717
2011,1421,99.7,97.4,-0.031,141,0.5675
2011,1237,110.1,107.6,0.015,142,0.5673
2011,1382,105.9,103.8,0.031,143,0.5578
2011,1374,102.9,101.0,-0.057999999999999996,144,0.5549
2011,1374,102.9,101.0,-0.057999999999999996,144,0.5549
2011,1374,102.9,101.0,-0.057999999999999996,144,0.5549
2011,1374,102.9,101.0,-0.057999999999999996,144,0.5549
2011,1260,103.3,101.4,-0.063,145,0.5528
2011,1260,103.3,101.4,-0.063,145,0.5528
2011,1260,103.3,101.4,-0.063,145,0.5528
2011,1260,103.3,101.4,-0.063,145,0.5528
2011,1454,102.7,100.9,0.128,146,0.5519
2011,1364,102.2,100.5,-0.023,147,0.548
2011,1364,102.2,100.5,-0.023,147,0.548
2011,1364,102.2,100.5,-0.023,147,0.548
2011,1364,102.2,100.5,-0.023,147,0.548
2011,1364,102.2,100.5,-0.023,147,0.548
2011,1364,102.2,100.5,-0.023,147,0.548
2011,1364,102.2,100.5,-0.023,147,0.548
2011,1364,102.2,100.5,-0.023,147,0.548
2011,1364,102.2,100.5,-0.023,147,0.548
2011,1362,100.4,98.8,0.077,148,0.5455
2011,1362,100.4,98.8,0.077,148,0.5455
2011,1362,100.4,98.8,0.077,148,0.5455
2011,1362,100.4,98.8,0.077,148,0.5455
2011,1349,103.9,102.3,-0.063,149,0.5443
2011,1365,103.6,102.1,0.032,150,0.5409
2011,1365,103.6,102.1,0.032,150,0.5409
2011,1365,103.6,102.1,0.032,150,0.5409
2011,1365,103.6,102.1,0.032,150,0.5409
2011,1352,101.2,100.1,0.013999999999999999,151,0.5316
2011,1352,101.2,100.1,0.013999999999999999,151,0.5316
2011,1352,101.2,100.1,0.013999999999999999,151,0.5316
2011,1352,101.2,100.1,0.013999999999999999,151,0.5316
2011,1334,103.3,102.1,-0.061,152,0.5315
2011,1305,103.0,101.9,-0.05,153,0.5314
2011,1202,102.5,101.5,0.067,154,0.5277
2011,1333,101.4,100.6,-0.044000000000000004,155,0.5222
